id,age,year,wrkstat,hrs1,marital,agekdbrn,sibs,chathr,emailhr,postlife,sex,othlang,born,engunite,payexec,comwht,race,realrinc,educ,grass,degree,letters,aged,realinc,childs,abpoor,abany,prestg80,mapres80,papres80,wordsum,pasei,masei,god,numcong,grass_missing
1,26,2000,"working fulltime",40,"never married",,1,2,2,"yes","male",,"yes",,,,"white",5985,16,,"bachelor","0",,,0,"no","no",43,65,51,7,63.5,76.4,"believe but doubts",1000,.a
2,48,2000,"working fulltime",38,"divorced",20,4,,0,,"female",,"no",,,,"white",5985,15,"not legal","high school",,"a bad idea",5985,2,"no","no",46,52,40,1,32.3,69.2,"know god exists",100,"not legal"
3,67,2000,"keeping house",,"widowed",19,4,,,"yes","female",,"yes",,,,"white",,13,"not legal","high school","50+","a good idea",12468,5,,,,,30,7,29.4,,"know god exists",,"not legal"
4,39,2000,"working fulltime",60,"never married",29,2,,3,"yes","female","yes","yes","agree",,80,"white",,14,"legal","high school",,"a good idea",29925,1,,,21,46,50,,53.4,38.4,,3000,"legal"
5,25,2000,"working fulltime",44,"divorced",,1,,15,"yes","female","yes","yes","agree",150000,95,"white",,14,"not legal","junior college",,"a good idea",24937,0,,,65,43,30,,31.5,36.9,,,"not legal"
6,25,2000,"working fulltime",40,"married",,2,,,"yes","female","no","yes","agree",,75,"white",14131,12,"not legal","high school",,"a good idea",,0,"yes","yes",39,46,,,,38.4,,,"not legal"
7,36,2000,"working fulltime",55,"never married",,1,,1,,"male","yes","yes","agree","> 1000000",70,"white",18287,14,,"high school",,,18287,0,"no","no",34,52,47,,48.5,63.2,,,.a
8,44,2000,"working fulltime",42,"divorced",21,6,,,"yes","female","yes","yes","agree",200000,90,"white",4987,14,"legal","junior college",,"a good idea",14131,2,"no","no",39,47,42,,36.5,38,,300,"legal"
9,44,2000,"working fulltime",50,"married",35,0,0,3,,"male",,"yes",,,,"white",36575,18,"legal","graduate","16-25","a good idea",141038,1,,,51,51,51,10,63.5,63.5,"no way to find out",300,"legal"
10,47,2000,"working fulltime",60,"married",25,4,,0,"yes","male","no","yes","strongly agree",300000,95,"white",44887,16,"not legal","bachelor",,"a good idea",66500,3,,,65,,65,,76.4,,,9996,"not legal"
11,53,2000,"working fulltime",50,"married",22,3,0,10,"yes","female","yes","yes","agree","> 1000000",70,"white",44887,18,"not legal","graduate",,"a good idea",66500,1,,,64,,30,,31.5,,,220,"not legal"
12,52,2000,"working fulltime",40,"married",47,0,0,4,,"male",,"yes",,,,"white",66500,20,"legal","graduate",,,141038,1,"yes","yes",74,,39,10,36.5,,"no way to find out",,"legal"
13,52,2000,"working fulltime",45,"married",34,2,0,2,"yes","male",,"yes",,,,"white",18287,12,,"high school","3-5",,36575,1,"no","no",22,28,,4,,17.1,"know god exists",150,.a
14,51,2000,"working fulltime",50,"married",,2,,0,,"male",,"yes",,,,"white",36575,17,"not legal","bachelor",,"a good idea",66500,0,,"no",65,64,40,7,37.3,78.5,"know god exists",8000,"not legal"
15,52,2000,"unempl, laid off",,"divorced",25,4,0,3,"no","female",,"yes",,,,"white",44887,16,"not legal","bachelor","6-10","depends",44887,2,,,59,,44,10,50.7,,"no way to find out",,"not legal"
16,40,2000,"working fulltime",48,"married",25,8,,,"yes","male","no","yes","disagree","> 1000000",65,"black",18287,16,"legal","high school",,"a good idea",36575,4,,,35,36,26,,32.1,33.1,,100,"legal"
17,77,2000,"retired",,"widowed",28,15,,,,"male",,"yes",,,,"white",,15,"not legal","junior college",,"a bad idea",9143,1,"no","no",45,,47,6,38.2,,"know god exists",,"not legal"
18,44,2000,"working fulltime",40,"never married",,3,,1,,"male","no","yes","strongly agree",,20,"white",18287,12,"legal","high school",,"a good idea",18287,0,,,,47,34,,48.6,53.9,,,"legal"
19,40,2000,"working fulltime",50,"married",37,5,,,"yes","male",,"yes",,,,"white",9143,8,"not legal","lt high school","0","a bad idea",9143,1,,,24,28,28,4,25.2,17.1,,2000,"not legal"
20,45,2000,"school",,"married",21,6,,0,,"female",,"no",,,,"black",,12,"not legal","high school",,"a good idea",15793,4,"no","no",,,39,9,34.2,,"know god exists",,"not legal"
21,48,2000,"working fulltime",50,"married",27,1,0,0,"yes","male","no","yes","agree","> 1000000",90,"white",134018,16,"not legal","bachelor",,"a good idea",141038,2,,,44,47,,,,38,,3000,"not legal"
